diff	lwr	upr	p adj	location	day	ad_metric	q.value
ther-sub58	0.250434233333334	-4.78189921551792	5.28276768218459	0.991567668197782	ic	42	invsimpson	0.999999984904248
sub-ctrl59	-1.18487577777778	-1.89612702578832	-0.473624529767237	0.000951031488297782	ic	42	shannon	0.0228247557191468
ther-ctrl59	-1.05816136666667	-1.75140333085141	-0.364919402481921	0.00229057109019404	ic	42	shannon	0.0396388102517047
ther-sub59	0.126714411111112	-0.566527553073635	0.819956375295858	0.892516109247654	ic	42	shannon	0.999999984904248
sub-ctrl60	-64.6363636363637	-137.345313813548	8.07258654082084	0.0880260328590822	ic	56	sobs	0.300208743534153
ther-ctrl60	-50.2857142857143	-131.808721236111	31.2372926646824	0.290517880475484	ic	56	sobs	0.668759725443698
ther-sub60	14.3506493506493	-63.8627863151466	92.5640850164453	0.891238896387334	ic	56	sobs	0.999999984904248
sub-ctrl61	-80.6624856363637	-162.254529408808	0.929558136081027	0.0530794357013383	ic	56	chao	0.259507522672847
ther-ctrl61	-47.220514	-138.703457095021	44.2624290950209	0.414846583806088	ic	56	chao	0.802928871882751
ther-sub61	33.4419716363636	-54.3270588734374	121.211002146165	0.613775693906565	ic	56	chao	0.9953119360647
sub-ctrl62	-78.0260147171717	-153.747309600729	-2.30471983361393	0.0425449908497738	ic	56	ace	0.239315573529978
ther-ctrl62	-53.1681378730159	-138.068657465752	31.7323817197201	0.280270639043569	ic	56	ace	0.65439667057034
ther-sub62	24.8578768441558	-56.5959553384511	106.311709026763	0.729333354821984	ic	56	ace	0.999999984904248
sub-ctrl63	-5.85733055555555	-14.9031901015073	3.18852899039622	0.258016378787981	ic	56	invsimpson	0.634593311694364
ther-ctrl63	-5.47758584126984	-15.6200190470837	4.66484736454398	0.383013924524623	ic	56	invsimpson	0.7617956509882
ther-sub63	0.379744714285712	-9.35093839852225	10.1104278270937	0.994778394999778	ic	56	invsimpson	0.999999984904248
sub-ctrl64	-0.867268090909091	-1.90954704721848	0.1750108654003	0.115771839662484	ic	56	shannon	0.353202222699104
ther-ctrl64	-0.660115142857143	-1.82874313696791	0.508512851253623	0.351446746756341	ic	56	shannon	0.731334270706837
ther-sub64	0.207152948051948	-0.914032516687411	1.32833841279131	0.889808873540502	ic	56	shannon	0.999999984904248
sub-ctrl65	-37.0999999999999	-72.8184702896592	-1.38152971034072	0.0405903833761315	ic	7	sobs	0.231945047863609
ther-ctrl65	-20.5	-56.2184702896592	15.2184702896593	0.343556691015263	ic	7	sobs	0.728431008233535
ther-sub65	16.6	-19.1184702896592	52.3184702896592	0.491181532867633	ic	7	sobs	0.884126759161739
sub-ctrl66	-47.4003947	-84.3748824340946	-10.4259069659053	0.00999465525057597	ic	7	chao	0.11243987156898
ther-ctrl66	-27.1429607	-64.1174484340946	9.83152703409468	0.182163914314292	ic	7	chao	0.494047966794586
ther-sub66	20.257434	-16.7170537340947	57.2319217340946	0.376343266272196	ic	7	chao	0.761143684595452
sub-ctrl67	-42.1609417	-79.4056149243914	-4.9162684756086	0.0241187223833982	ic	7	ace	0.172698413432345
